PLAYER,POS,LANE AGILITY TIME,SHUTTLE RUN,THREE QUARTER SPRINT,STANDING VERTICAL LEAP,MAX VERTICAL LEAP,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,YEAR
Mohamed Abukar,SF,11.78,DNE,3.37,30.5,35,8.90%,DNE,DNE,6' 8'',6' 9.75'',8' 7'',210,6' 9'',2007
Mustafa Shakur,PG,11.82,DNE,3.27,28.5,35,4.10%,DNE,DNE,6' 3'',6' 4.5'',8' 3'',185,6' 5.5'',2007
Nick Young,SG-SF,11,DNE,3.25,39.5,40.5,6.80%,DNE,DNE,6' 5'',6' 6.75'',8' 4.5'',206,7' 0'',2007
Quinton Hosley,SF-SG,12.47,DNE,3.32,28.5,34,5.70%,DNE,DNE,6' 5'',6' 7.75'',8' 9'',215,6' 11.25'',2007
Ramon Sessions,PG,11.65,DNE,3.27,29.5,33.5,6.20%,DNE,DNE,6' 2'',6' 3.75'',8' 1.5'',185,6' 4.25'',2007
Rashad Jones-Jennings,PF,12.18,DNE,3.29,25,30,5.90%,DNE,DNE,6' 6'',6' 7.5'',8' 9.5'',235,7' 0'',2007
Rashaun Freeman,PF,11.43,DNE,3.41,28,32,11.50%,DNE,DNE,6' 6'',6' 8'',8' 8'',244,6' 11.5'',2007
Renaldas Seibutis,SG,11.33,DNE,3.39,24,32.5,6.10%,DNE,DNE,6' 4'',6' 5.75'',8' 5'',185,6' 8.75'',2007
Reyshawn Terry,SF,11.76,DNE,3.26,31,37.5,8.90%,DNE,DNE,6' 6.75'',6' 7.5'',8' 7.5'',222,6' 10'',2007
Rodney Stuckey,SG-PG,11.34,DNE,3.11,30.5,35,6.10%,DNE,DNE,6' 3.75'',6' 4.5'',8' 4.5'',207,6' 7.25'',2007
Ron Lewis,SG,11.59,DNE,3.22,33,38,4.50%,DNE,DNE,6' 2'',6' 4.5'',8' 3'',194,6' 6.5'',2007
Russell Carter,SG,11.61,DNE,3.29,33,38.5,6.00%,DNE,DNE,6' 3'',6' 4.5'',8' 1.5'',221,6' 8.5'',2007
Ryvon Covile,C-PF,12.52,DNE,3.37,25,30.5,8.00%,DNE,DNE,6' 7'',6' 8.5'',8' 11.5'',250,7' 1.25'',2007
Sammy Mejia,SG,11.87,DNE,3.49,27,31.5,8.30%,DNE,DNE,6' 5'',6' 7'',8' 9'',218,6' 11'',2007
Spencer Hawes,PF,11.88,DNE,3.51,26,29,13.00%,DNE,DNE,6' 10'',7' 0.75'',9' 2'',244,7' 0.5'',2007
Stephane Lasme,PF,11.73,DNE,3.22,29.5,36,4.90%,DNE,DNE,6' 5'',6' 7'',8' 11'',213,7' 2'',2007
Taurean Green,PG,11.3,DNE,3.26,29,32.5,4.60%,DNE,DNE,5' 11'',6' 0.75'',8' 0'',173,6' 2.25'',2007
Thaddeus Young,SF,11.06,DNE,3.19,34.5,37,4.90%,DNE,DNE,6' 5.75'',6' 7.5'',8' 10'',210,6' 11.5'',2007
Trey Johnson,SG,11.78,DNE,3.31,26.5,35,5.40%,DNE,DNE,6' 3'',6' 5.75'',8' 2'',216,6' 5'',2007
Yue Sun,SF,10.68,DNE,3.45,29,34,5.10%,DNE,DNE,6' 7.75'',6' 8.75'',8' 9'',212,6' 9'',2007
Zabian Dowdell,PG,11.13,DNE,3.29,30,33.5,5.10%,DNE,DNE,6' 1'',6' 3'',8' 4'',191,6' 10'',2007
Adam Morrison,SF,11.46,DNE,3.37,25.5,30.5,6.80%,DNE,DNE,6' 6.5'',6' 7.75'',8' 9'',198,6' 10'',2006
Allan Ray,SG,11.01,DNE,3.2,28.5,35.5,9.80%,DNE,DNE,6' 1'',6' 2.25'',8' 3.5'',204,6' 8.5'',2006
Antywane Robinson,SF-PF,11.73,DNE,3.4,29,32.5,6.90%,DNE,DNE,6' 6.25'',6' 7.5'',8' 9.5'',217,7' 2.5'',2006
Blake Schilb,PG-SG,11.25,DNE,3.43,28.5,34.5,11.30%,DNE,DNE,6' 5.25'',6' 6.25'',8' 6'',209,6' 8.75'',2006
Bobby Jones,SF-SG,11.23,DNE,3.28,28.5,34.5,8.00%,DNE,DNE,6' 5.75'',6' 6.75'',8' 5.5'',211,6' 9.5'',2006
Brad Buckman,PF,12.26,DNE,3.54,25.5,30.5,10.50%,DNE,DNE,6' 7.25'',6' 8.75'',8' 11.5'',238,7' 0'',2006
Brandon Bowman,SF,11.41,DNE,3.31,31,34,8.40%,DNE,DNE,6' 6.75'',6' 8.25'',8' 7'',209,6' 11.5'',2006
Brandon Roy,SG-SF,11.13,DNE,3.27,34,40.5,7.60%,DNE,DNE,6' 5.25'',6' 6.25'',8' 5'',207,6' 8'',2006
CJ Watson,PG,11.61,DNE,3.15,31.5,34,5.20%,DNE,DNE,6' 0.5'',6' 1.75'',8' 0'',171,6' 6'',2006
Carl Krauser,PG,11.62,DNE,3.38,26,31,8.00%,DNE,DNE,5' 11.75'',6' 0.75'',8' 1'',190,6' 6.25'',2006
Cedric Simmons,PF-C,11.05,DNE,3.31,30.5,35,5.60%,DNE,DNE,6' 8.25'',6' 9.5'',9' 0.5'',223,7' 4.25'',2006
Chris McCray,SG,11.46,DNE,3.34,30.5,39,9.60%,DNE,DNE,6' 3'',6' 4'',8' 0.5'',187,6' 5.75'',2006
Chris Quinn,PG-SG,11.25,DNE,3.25,32,37,5.90%,DNE,DNE,6' 0.5'',6' 1.5'',7' 10'',175,6' 5'',2006
Craig Smith,PF,11.59,DNE,3.4,30,29.5,12.20%,DNE,DNE,6' 5.5'',6' 6.5'',8' 7.5'',259,6' 9.5'',2006
Curtis Stinson,SG,10.95,DNE,3.27,28,31.5,6.00%,DNE,DNE,6' 1.75'',6' 2.75'',8' 1.5'',208,6' 5'',2006
Curtis Withers,PF-SF,11.54,DNE,3.1,35,36.5,5.00%,DNE,DNE,6' 6'',6' 6.5'',8' 5'',227,6' 10'',2006
Dan Grunfeld,SF-SG,11.3,DNE,3.46,28,33.5,10.40%,DNE,DNE,6' 4.75'',6' 6'',8' 3'',216,6' 6.25'',2006
Daniel Horton,PG-SG,10.35,DNE,3.16,30,36.5,8.00%,DNE,DNE,6' 0.5'',6' 2.25'',8' 0.5'',198,6' 7'',2006
Danilo Pinnock,PG-SG,11.91,DNE,3.08,29.5,35.5,4.60%,DNE,DNE,6' 2.75'',6' 4'',8' 4.5'',204,6' 7.5'',2006
Darius Washington,PG,10.71,DNE,3.26,29,37.5,9.70%,DNE,DNE,5' 11.5'',6' 1'',8' 0'',195,6' 4'',2006
David Noel,SF-SG,10.54,DNE,3.07,34.5,38.5,6.10%,DNE,DNE,6' 4.5'',6' 6'',8' 4'',223,6' 9.5'',2006
Denham Brown,SG-SF,11.42,DNE,3.25,28,34.5,9.00%,DNE,DNE,6' 4'',6' 5'',8' 6.5'',218,6' 9.5'',2006
Dwayne Mitchell,SG-SF,11.45,DNE,3.16,37.5,41.5,4.50%,DNE,DNE,6' 2'',6' 3.25'',8' 2.5'',208,6' 6.5'',2006
Eric Hicks,PF,12.06,DNE,3.34,30,34,7.10%,DNE,DNE,6' 4.75'',6' 5.5'',8' 9.5'',238,7' 1.5'',2006
Eric Williams,C-PF,11.71,DNE,3.56,28.5,29,13.00%,DNE,DNE,6' 7.25'',6' 8.75'',8' 10.5'',285,7' 4.25'',2006
Frans Steyn,C,11.67,DNE,3.38,28.5,29.5,12.80%,DNE,DNE,7' 1.25'',7' 2.5'',9' 1'',280,7' 2.25'',2006
Gerry McNamara,PG-SG,11.28,DNE,3.4,27,32,12.80%,DNE,DNE,5' 11.75'',6' 0.5'',7' 8.5'',177,6' 0.75'',2006
Hilton Armstrong,C-PF,12.28,DNE,3.53,28.5,31.5,6.30%,DNE,DNE,6' 9.5'',6' 10.25'',9' 1'',240,7' 4'',2006
Ian Vouyoukas,C-PF,13.7,DNE,3.72,23,28,14.80%,DNE,DNE,6' 8.5'',6' 9.5'',9' 0.5'',267,7' 0.75'',2006
J.P. Batista,PF,11.62,DNE,3.38,26,30.5,12.00%,DNE,DNE,6' 7.5'',6' 8.5'',8' 7.5'',265,6' 10'',2006
JJ Redick,SG,10.94,DNE,3.29,27.5,33,7.00%,DNE,DNE,6' 4'',6' 4.75'',8' 1.5'',190,6' 3.25'',2006
James Augustine,PF,10.54,DNE,3.25,30,32.5,5.50%,DNE,DNE,6' 8.25'',6' 9.75'',8' 8'',227,7' 0.25'',2006
Joah Tucker,SF-SG,11.58,DNE,3.31,29,34,7.00%,DNE,DNE,6' 3.75'',6' 5.25'',8' 3.5'',224,6' 6.5'',2006
Jordan Farmar,PG,11.07,DNE,3.17,33.5,42,4.40%,DNE,DNE,6' 0.75'',6' 2'',7' 10.5'',171,6' 3'',2006
Justin Williams,C-PF,11.9,DNE,3.31,26.5,31.5,6.50%,DNE,DNE,6' 7.25'',6' 8.75'',9' 1'',211,7' 1.5'',2006
Kenny Adeleke,PF-C,11.57,DNE,3.47,28.5,30.5,10.50%,DNE,DNE,6' 6.5'',6' 7.75'',8' 8'',250,6' 10.25'',2006
Keydren Clark,PG,11.03,DNE,3.11,31,34,11.60%,DNE,DNE,5' 9'',5' 10.25'',7' 8.5'',184,6' 2.5'',2006
LaMarcus Aldridge,PF-C,12.02,DNE,3.43,26.5,34,8.70%,DNE,DNE,6' 10'',6' 11.25'',9' 2'',234,7' 4.75'',2006
Lou Amundson,PF,10.58,DNE,3.2,32,35.5,6.80%,DNE,DNE,6' 7.2'',6' 8'',8' 7.5'',221,6' 11.5'',2006
Marco Killingsworth,PF,11.42,DNE,3.34,28,32,19.00%,DNE,DNE,6' 5.5'',6' 6.75'',8' 8'',266,7' 3'',2006
Marcus Slaughter,PF-SF,11.56,DNE,3.4,30,34,8.50%,DNE,DNE,6' 7'',6' 8'',8' 8.5'',220,6' 11.5'',2006
Marcus Williams,PG,11.3,DNE,3.4,24.5,28,12.40%,DNE,DNE,6' 2'',6' 3.25'',8' 1.5'',215,6' 7'',2006
Mardy Collins,PG-SG,12,DNE,3.27,31.5,37.5,10.00%,DNE,DNE,6' 4.25'',6' 5.5'',8' 7'',224,6' 10'',2006
Matt Haryasz,PF-C,11.34,DNE,3.46,27.5,31.5,9.80%,DNE,DNE,6' 9.75'',6' 11'',8' 11.5'',219,7' 0.25'',2006
Maurice Ager,SG-PG,11.73,DNE,3.22,29.5,35,8.00%,DNE,DNE,6' 3.25'',6' 4.5'',8' 5.5'',203,6' 7.75'',2006
Michael Southhall,C,12.29,DNE,3.51,31.5,37,7.90%,DNE,DNE,6' 9.5'',6' 10.25'',8' 11.5'',241,7' 4.25'',2006
Morris Almond,SG-SF,11.45,DNE,3.19,31,35.5,6.90%,DNE,DNE,6' 4.75'',6' 6'',8' 6.5'',214,6' 10'',2006
Mouhamed Sene,C,12.52,DNE,3.38,28.5,31,6.60%,DNE,DNE,6' 11'',7' 0'',9' 5'',237,7' 8.5'',2006
Nick George,SF-SG,11.69,DNE,3.25,30.5,38,6.00%,DNE,DNE,6' 4'',6' 5.75'',8' 7'',201,6' 10'',2006
Nik Caner-Medley,SF,10.57,DNE,3.21,28.5,35.5,9.60%,DNE,DNE,6' 6.5'',6' 8'',8' 7'',234,6' 9'',2006
Patrick O'Bryant,C,12.68,DNE,3.63,26.5,30,10.00%,DNE,DNE,6' 11'',7' 0'',9' 5'',249,7' 5.75'',2006
Paul Miller,PF-C,12.25,DNE,3.66,29,35.5,13.80%,DNE,DNE,6' 8.5'',6' 9.25'',8' 5.5'',251,7' 0'',2006
Paul Millsap,PF,11.67,DNE,3.3,28.5,32.5,9.70%,DNE,DNE,6' 6.25'',6' 7.25'',8' 9.5'',258,7' 1.5'',2006
Pops Mensah-Bonsu,PF-C,11.47,DNE,3.29,31.5,36,5.80%,DNE,DNE,6' 7.5'',6' 9'',8' 9.5'',232,7' 0'',2006
Randy Foye,SG-PG,10.53,DNE,3.23,32,38,10.00%,DNE,DNE,6' 2.25'',6' 3.25'',8' 1'',212,6' 6.25'',2006
Rashad Anderson,SG,11.77,DNE,3.48,27.5,32.5,17.30%,DNE,DNE,6' 3.25'',6' 4.5'',8' 4'',224,6' 7'',2006
Renaldo Balkman,SF-PF,11.58,DNE,3.22,30.5,35,4.90%,DNE,DNE,6' 5.25'',6' 6.5'',8' 8.5'',206,7' 1'',2006
Rodney Carney,SG-SF,10.57,DNE,3.06,32,38.5,5.30%,DNE,DNE,6' 4.5'',6' 5.75'',8' 7.5'',204,6' 10'',2006
Ronnie Brewer,SG-PG,11.32,DNE,3.14,35,41,5.00%,DNE,DNE,6' 5.75'',6' 6.75'',8' 7.5'',223,6' 11.25'',2006
Rudy Gay,SF-PF,11.03,DNE,3.32,33,40.5,5.70%,DNE,DNE,6' 7'',6' 8'',8' 11.5'',222,7' 3'',2006
Sean Dockery,PG-SG,10.88,DNE,3.34,29,33,7.30%,DNE,DNE,6' 0.75'',6' 2'',7' 11.5'',182,6' 4.5'',2006
Shawne Williams,SF-PF,10.69,DNE,3.3,32,31,8.00%,DNE,DNE,6' 7.25'',6' 8.75'',8' 8'',227,7' 3'',2006
Shelden Williams,PF-C,11.53,DNE,3.59,29,33.5,11.40%,DNE,DNE,6' 7.5'',6' 8.5'',8' 8'',258,7' 4.25'',2006
Solomon Jones,PF-C,11.27,DNE,3.3,32,39,7.40%,DNE,DNE,6' 8.5'',6' 9.75'',9' 1'',224,7' 4.75'',2006
Steve Novak,SF,11.11,DNE,3.37,24.5,31,8.10%,DNE,DNE,6' 8'',6' 9.25'',8' 7'',216,6' 9.5'',2006
Steven Smith,SF-PF,12.08,DNE,3.4,29.5,34.5,7.80%,DNE,DNE,6' 7.5'',6' 9.25'',8' 8'',238,7' 0.5'',2006
Taj Gray,PF-SF,11.02,DNE,3.45,28.5,33,6.80%,DNE,DNE,6' 7.25'',6' 8.5'',8' 11'',231,7' 0.75'',2006
Taquan Dean,SG-PG,10.53,DNE,3.2,30.5,34.5,3.90%,DNE,DNE,6' 2'',6' 3'',8' 2'',183,6' 6.75'',2006
Tarence Kinsey,SF-SG,10.67,DNE,3.3,29,35.5,4.10%,DNE,DNE,6' 4.75'',6' 5.5'',8' 4.5'',179,6' 6.75'',2006
Tedric Hill,SF-PF,12.23,DNE,3.24,30,36.5,7.30%,DNE,DNE,6' 7.75'',6' 9'',8' 11'',236,7' 1'',2006
Terence Dials,PF-C,11.54,DNE,3.5,26.5,30,15.80%,DNE,DNE,6' 7.75'',6' 9'',8' 10'',253,7' 0'',2006
Torin Francis,PF-C,11.97,DNE,3.51,26.5,32,12.40%,DNE,DNE,6' 9'',6' 10'',8' 9.5'',247,7' 1'',2006
Tyrus Thomas,PF-SF,11.36,DNE,3.2,34,39.5,5.60%,DNE,DNE,6' 7.25'',6' 8.25'',9' 0'',217,7' 3'',2006
Viktor Keyru,SG-PG,11.4,DNE,3.24,29,34.5,5.50%,DNE,DNE,6' 5.25'',6' 6'',8' 8'',202,6' 9.25'',2006
Will Blalock,PG,11.08,DNE,3.18,35,40,7.20%,DNE,DNE,5' 11.25'',6' 0.5'',8' 0.5'',194,6' 6'',2006
Yemi Nicholson,PF-C,12.57,DNE,3.65,26.5,26,17.20%,DNE,DNE,6' 7.75'',6' 9.5'',8' 11'',258,7' 4.25'',2006
Aaron Miles,PG,10.69,DNE,3.22,32,37.5,DNE,DNE,DNE,6' 0'',6' 1.5'',7' 10'',174.6,6' 3.5'',2005
Alan Anderson,SG-SF,10.32,DNE,3.27,26.5,30.5,DNE,DNE,DNE,6' 4.5'',6' 6'',8' 8'',223.2,6' 9.5'',2005
Alex Acker,SG,11.67,DNE,3.35,28,32,DNE,DNE,DNE,6' 3.75'',6' 4.75'',8' 6.5'',183,7' 0'',2005
Andrew Bogut,C-PF,12.06,DNE,3.51,27.5,33.5,DNE,DNE,DNE,6' 11'',7' 0.25'',9' 2.5'',250.6,7' 3'',2005
Anthony Roberson,PG,11.17,DNE,3.19,31.5,37,DNE,DNE,DNE,6' 0.75'',6' 2.5'',7' 11'',178.8,6' 2.75'',2005
Antoine Wright,SF-SG,11.45,DNE,3.41,26.5,29.5,DNE,DNE,DNE,6' 5.25'',6' 6.25'',8' 8.5'',202.6,6' 8.75'',2005
Bracey Wright,SG-PG,11.58,DNE,3.27,30,36,DNE,DNE,DNE,6' 1.25'',6' 2.5'',8' 4.5'',186.8,6' 10'',2005
Brandon Rush,SG-SF,11.33,DNE,3.31,32.5,35,DNE,DNE,DNE,6' 5'',6' 6.5'',8' 8.5'',211.4,6' 11.25'',2005
Carl Krauser,PG-SG,11.62,DNE,3.38,26,31,DNE,DNE,DNE,5' 11.5'',6' 0.75'',8' 2.5'',193.4,6' 5.5'',2005
Carlos Powell,SF-PF,11.54,DNE,3.21,27.5,34.5,DNE,DNE,DNE,6' 5.25'',6' 6.75'',8' 9'',221.8,6' 10.75'',2005
Channing Frye,PF-C,11.6,DNE,3.38,27.5,31,DNE,DNE,DNE,6' 9.5'',6' 10.5'',9' 2.5'',243.6,7' 2.5'',2005
Charles Hayes,SF-PF,10.7,DNE,3.34,30,33,DNE,DNE,DNE,6' 5.5'',6' 6.75'',8' 8.5'',232.4,6' 10'',2005
Charlie Villanueva,PF-SF,10.86,DNE,3.3,26,31,DNE,DNE,DNE,6' 9'',6' 9.5'',9' 1'',236.6,7' 0.25'',2005
Chris Paul,PG,11.09,DNE,3.22,32,38,DNE,DNE,DNE,5' 11.75'',6' 1'',7' 9'',178,6' 4.25'',2005
Chris Taft,PF,11.26,DNE,3.27,28.5,33,DNE,DNE,DNE,6' 8.5'',6' 9.5'',9' 1'',261,7' 1.75'',2005
Chris Thomas,PG,10.84,DNE,3.33,28.5,34,DNE,DNE,DNE,5' 11.75'',6' 1'',7' 11'',176.2,6' 3'',2005
D'Or Fischer,C-PF,12.53,DNE,3.5,28,30.5,DNE,DNE,DNE,6' 9.25'',6' 10.5'',9' 2.5'',242.4,7' 6'',2005
Danny Granger,,10.84,DNE,3.34,31,34,DNE,DNE,DNE,6' 7.5'',6' 8.5'',8' 7'',225.4,7' 1.5'',2005
Daryl Dorsey,PG,11.41,DNE,3.24,25,30.5,DNE,DNE,DNE,5' 11.25'',6' 0.5'',7' 10'',160.8,5' 11.5'',2005
David Lee,PF,10.8,DNE,3.19,30.5,32.5,DNE,DNE,DNE,6' 7.75'',6' 9'',8' 10.5'',229.5,7' 0'',2005
David Lucas,PF,-,DNE,-,-,-,DNE,DNE,DNE,6' 6.5'',6' 7.75'',8' 7.5'',233.4,7' 0'',2005
David Simon,C-PF,11.98,DNE,3.44,28,33,DNE,DNE,DNE,6' 8'',6' 9.5'',9' 0'',258.8,7' 3.5'',2005
Dee Brown,PG-SG,-,DNE,-,-,-,DNE,DNE,DNE,5' 11'',6' 0'',7' 10'',179,6' 2'',2005
Deji Akindele,C-PF,12.58,DNE,3.35,30.5,32.5,DNE,DNE,DNE,6' 9.5'',6' 11'',9' 0.5'',236.4,7' 3'',2005
Deng Gai,PF-C,12.51,DNE,3.27,31.5,35.5,DNE,DNE,DNE,6' 7.75'',6' 9.25'',9' 2.5'',214,7' 4.5'',2005
Deron Williams,PG,10.83,DNE,3.25,30,35,DNE,DNE,DNE,6' 1.75'',6' 2.75'',8' 2'',202.4,6' 6.25'',2005
Dijon Thompson,SF-SG,-,DNE,-,-,-,DNE,DNE,DNE,6' 6.25'',6' 8'',8' 9.5'',195.8,6' 9.75'',2005
Drago Pasalic,SF-PF,12.12,DNE,3.48,25,30.5,DNE,DNE,DNE,6' 9.5'',6' 11'',9' 0.5'',238.8,6' 11.75'',2005
Dwayne Jones,C-PF,11.87,DNE,3.25,28,31.5,DNE,DNE,DNE,6' 8.5'',6' 10'',9' 0.5'',242.2,7' 2.75'',2005
Eddie Basden,SG-SF,10.52,DNE,3.21,33,36.5,DNE,DNE,DNE,6' 4.25'',6' 5.5'',8' 5'',210,6' 10.25'',2005
Eddy Fobbs,C-PF,11.53,DNE,3.28,29.5,34,DNE,DNE,DNE,6' 10.25'',6' 11.25'',9' 3.5'',235.2,7' 6.75'',2005
Ellis Myles,PF,12.8,DNE,3.42,26,28.5,DNE,DNE,DNE,6' 6'',6' 7.25'',8' 9.5'',255.2,6' 9.75'',2005
Ersan Ilyasova,SF,11.59,DNE,3.56,22,30,DNE,DNE,DNE,6' 7.75'',6' 9'',9' 1.5'',208.8,7' 1.25'',2005
Francisco Garcia,SF-SG,10.63,DNE,3.33,27.5,31.5,DNE,DNE,DNE,6' 5.75'',6' 7'',8' 7'',189.6,6' 10.75'',2005
Gerald Green,SF,11.2,DNE,3.21,31.5,39,DNE,DNE,DNE,6' 6'',6' 7.25'',8' 8'',192,6' 9.75'',2005
Hakim Warrick,PF-SF,-,DNE,3.22,33,38,DNE,DNE,DNE,6' 7.25'',6' 8.5'',9' 0'',215,7' 2'',2005
Ike Diogu,PF,11.94,DNE,3.45,28,31,DNE,DNE,DNE,6' 6.5'',6' 8'',9' 1'',255.4,7' 3.5'',2005
Ivan McFarlin,PF,10.64,DNE,3.27,26.5,32,DNE,DNE,DNE,6' 5.5'',6' 6.75'',8' 9.5'',228.6,6' 9'',2005
Jared Homan,C-PF,-,DNE,-,-,-,DNE,DNE,DNE,6' 7.75'',6' 8.75'',8' 8.5'',248.2,7' 1.25'',2005
Jarrett Jack,PG,10.87,DNE,3.24,26,28.5,DNE,DNE,DNE,6' 2.5'',6' 3.5'',8' 4'',197.6,6' 7.5'',2005
Jason Klotz,C-PF,13.13,DNE,3.68,21.5,27,DNE,DNE,DNE,6' 8.5'',6' 9.75'',8' 11.5'',249.4,6' 10'',2005
Jason Maxiell,PF,-,DNE,-,-,-,DNE,DNE,DNE,6' 5'',6' 6.25'',8' 11'',257.6,7' 3.25'',2005
Jawad Williams,SF,11.39,DNE,3.23,28,34,DNE,DNE,DNE,6' 7'',6' 8'',8' 10.5'',218,7' 1.25'',2005
Joey Graham,SF,10.62,DNE,3.05,30,36,DNE,DNE,DNE,6' 5.25'',6' 6.5'',8' 8'',216.6,6' 8'',2005
John Gilchrist,PG,11.48,DNE,3.15,30.5,36.5,DNE,DNE,DNE,6' 1.25'',6' 2.5'',8' 0.5'',195.2,6' 9.25'',2005
John Lucas III,PG,10.44,DNE,3.14,29,34,DNE,DNE,DNE,5' 9.25'',5' 10.5'',7' 8'',154.4,6' 0'',2005
Juan Mendez,PF-SF,11.7,DNE,3.24,29,33,DNE,DNE,DNE,6' 5.25'',6' 6.75'',8' 10.5'',231.4,7' 0'',2005
Julius Hodge,SG-SF,10.89,DNE,3.18,24.5,29,DNE,DNE,DNE,6' 6'',6' 7'',8' 11.5'',202.2,7' 0.5'',2005
Keith Langford,SG-SF,11.38,DNE,3.23,32,29.5,DNE,DNE,DNE,6' 2.25'',6' 3.5'',8' 5'',203.2,6' 9'',2005
Kevin Pittsnogle,PF,-,DNE,-,-,-,DNE,DNE,DNE,6' 9.25'',6' 10.25'',8' 10'',259.2,6' 10.5'',2005
Larry O'Bannon,SG,11.44,DNE,3.18,31.5,36.5,DNE,DNE,DNE,6' 3'',6' 4.25'',8' 3.5'',196,6' 6'',2005
Luke Schenscher,C,12.4,DNE,3.47,23.5,26.5,DNE,DNE,DNE,6' 11.75'',7' 1.5'',9' 3.5'',241.6,7' 5'',2005
Luther Head,PG-SG,11.12,DNE,3.21,31.5,38.5,DNE,DNE,DNE,6' 2'',6' 3'',8' 2.5'',178.8,6' 5.25'',2005
Marcin Gortat,PF-C,11.48,DNE,3.33,29.5,36,DNE,DNE,DNE,6' 11'',7' 0'',9' 2'',225.2,7' 3.5'',2005
Marcus Campbell,C,-,DNE,-,-,-,DNE,DNE,DNE,6' 10.25'',7' 0.25'',9' 6'',280.4,7' 6'',2005
Martell Webster,SF,11.39,DNE,3.39,28,30.5,DNE,DNE,DNE,6' 6'',6' 7.5'',8' 10'',229.6,6' 11'',2005
Martynas Andriuskevicius,C-PF,11.94,DNE,3.42,24,27.5,DNE,DNE,DNE,7' 1.25'',7' 3'',9' 4.5'',227.8,6' 11.25'',2005
Marvin Williams,PF-SF,11.11,DNE,3.17,29.5,35,DNE,DNE,DNE,6' 7'',6' 8.25'',9' 0'',228.2,7' 3.5'',2005
Mike Bell,SF-PF,11.73,DNE,3.29,33.5,39.5,DNE,DNE,DNE,6' 8.75'',6' 9.25'',8' 8.5'',206.2,7' 1.5'',2005
Mindaugas Katelynas,SF-PF,11.6,DNE,3.38,31.5,35,DNE,DNE,DNE,6' 7.5'',6' 8.5'',8' 9.5'',217,6' 11'',2005
Monta Ellis,SG-PG,12.13,DNE,3.31,26.5,31.5,DNE,DNE,DNE,6' 2.25'',6' 3.25'',8' 2'',176.6,6' 2.75'',2005
Mustafa Al-Sayyad,PF-C,11.56,DNE,3.42,26.5,30.5,DNE,DNE,DNE,,,,-,,2005
Nemanja Aleksandrov,PF-SF,-,DNE,-,-,-,DNE,DNE,DNE,6' 10'',7' 0'',9' 2'',220.6,6' 11'',2005
Omar Thomas,SF-SG,11.11,DNE,3.27,25,29.5,DNE,DNE,DNE,6' 3.25'',6' 4.5'',8' 6'',200,6' 8'',2005
Rashad McCants,SG,10.39,DNE,3.11,32.5,34.5,DNE,DNE,DNE,6' 2.75'',6' 4'',8' 7.5'',201,6' 10.75'',2005
Rawle Marshall,SG-SF,11.64,DNE,3.21,30.5,37,DNE,DNE,DNE,6' 4.5'',6' 5.75'',8' 8'',186.6,7' 1'',2005
Raymond Felton,PG,10.5,DNE,3.06,29,33.5,DNE,DNE,DNE,5' 11.5'',6' 0.25'',8' 2'',199.4,6' 4.25'',2005
Robert Whaley,PF-C,12.11,DNE,3.25,28.5,33.5,DNE,DNE,DNE,6' 8'',6' 9'',9' 0'',269.4,7' 2'',2005
Roger Powell,SF,-,DNE,-,-,-,DNE,DNE,DNE,6' 4.75'',6' 6'',8' 8'',218.6,6' 11.5'',2005
Ronnie Price,PG,10.49,DNE,3.29,31.5,39,DNE,DNE,DNE,6' 0.75'',6' 2.25'',8' 0.5'',184.8,6' 5.5'',2005
Ronny Turiaf,PF,11.5,DNE,3.23,30.5,33,DNE,DNE,DNE,6' 8'',6' 9.25'',8' 10.5'',237.8,7' 1.5'',2005
Rudy Fernandez,SG,10.48,DNE,3.33,26.5,35.5,DNE,DNE,DNE,6' 4.75'',6' 6'',8' 5.5'',172,6' 7.5'',2005
Sean Banks,SF,11.74,DNE,3.35,25,31.5,DNE,DNE,DNE,6' 5.75'',6' 7'',9' 0'',206.4,7' 1'',2005
Sean May,PF,11.04,DNE,3.29,30,33,DNE,DNE,DNE,6' 7'',6' 8.5'',8' 9'',258.8,7' 1.25'',2005
Sharrod Ford,PF,11.92,DNE,3.2,28.5,37,DNE,DNE,DNE,6' 7.25'',6' 8.25'',8' 10'',212.8,7' 1.5'',2005
Taylor Coppenrath,PF-SF,11.51,DNE,3.44,24.5,27,DNE,DNE,DNE,6' 7.75'',6' 9.25'',8' 10.5'',252.4,6' 11.5'',2005
Travis Diener,PG-SG,10.85,DNE,3.26,24.5,31,DNE,DNE,DNE,5' 11.75'',6' 1'',7' 9.5'',165.2,5' 11.75'',2005
Tre Simmons,SG-SF,10.8,DNE,3.18,27,31.5,DNE,DNE,DNE,6' 4'',6' 5'',8' 6.5'',194.2,6' 7.5'',2005
Wayne Simien,PF,11.05,DNE,3.35,27,27.5,DNE,DNE,DNE,6' 7.25'',6' 9'',8' 11'',255.8,7' 0'',2005
Will Bynum,PG-SG,11.12,DNE,3,33,40.5,DNE,DNE,DNE,5' 10.5'',5' 11.5'',7' 9'',188.8,6' 3.5'',2005
Will Conroy,PG,10.51,DNE,3.28,30.5,36.5,DNE,DNE,DNE,6' 1'',6' 2'',8' 0.5'',188.6,6' 3'',2005
